county,N,V,total_precincts,reported_precincts,precinct_diff
ANDERSON,BIDEN,3934,23,23,0
ANDERSON,OTH,159,23,23,0
ANDERSON,TRUMP,15062,23,23,0
ANDREWS,BIDEN,784,5,5,0
ANDREWS,OTH,66,5,5,0
ANDREWS,TRUMP,4835,5,5,0
ANGELINA,BIDEN,9130,43,43,0
ANGELINA,OTH,422,43,43,0
ANGELINA,TRUMP,25064,43,43,0
ARANSAS,BIDEN,2896,6,6,0
ARANSAS,OTH,135,6,6,0
ARANSAS,TRUMP,9210,6,6,0
ARCHER,BIDEN,446,12,12,0
ARCHER,OTH,50,12,12,0
ARCHER,TRUMP,4300,12,12,0
AUSTIN,BIDEN,2931,18,18,0
AUSTIN,OTH,155,18,18,0
AUSTIN,TRUMP,11282,18,18,0
BAILEY,BIDEN,407,5,5,0
BAILEY,OTH,17,5,5,0
BAILEY,TRUMP,1430,5,5,0
BANDERA,BIDEN,2503,11,11,0
BANDERA,OTH,150,11,11,0
BANDERA,TRUMP,10050,11,11,0
BASTROP,BIDEN,15452,23,23,0
BASTROP,OTH,674,23,23,0
BASTROP,TRUMP,20486,23,23,0
BAYLOR,BIDEN,179,5,5,0
BAYLOR,OTH,23,5,5,0
BAYLOR,TRUMP,1478,5,5,0
BEE,BIDEN,3280,18,18,0
BEE,OTH,126,18,18,0
BEE,TRUMP,5999,18,18,0
BORDEN,BIDEN,16,8,8,0
BORDEN,OTH,1,8,8,0
BORDEN,TRUMP,395,8,8,0
BRAZOS,BIDEN,35242,99,99,0
BRAZOS,OTH,2055,99,99,0
BRAZOS,TRUMP,47456,99,99,0
BRISCOE,BIDEN,77,6,6,0
BRISCOE,OTH,8,6,6,0
BRISCOE,TRUMP,639,6,6,0
BROOKS,BIDEN,1470,6,6,0
BROOKS,OTH,16,6,6,0
BROOKS,TRUMP,998,6,6,0
BROWN,BIDEN,2103,19,19,0
BROWN,OTH,156,19,19,0
BROWN,TRUMP,13681,19,19,0
BURLESON,BIDEN,1786,14,14,0
BURLESON,OTH,78,14,14,0
BURLESON,TRUMP,6740,14,14,0
BURNET,BIDEN,5615,21,21,0
BURNET,OTH,310,21,21,0
BURNET,TRUMP,18721,21,21,0
CALDWELL,BIDEN,6536,32,32,0
CALDWELL,OTH,264,32,32,0
CALDWELL,TRUMP,7975,32,32,0
CALHOUN,BIDEN,2146,26,26,0
CALHOUN,OTH,67,26,26,0
CALHOUN,TRUMP,5640,26,26,0
CALLAHAN,BIDEN,734,8,8,0
CALLAHAN,OTH,86,8,8,0
CALLAHAN,TRUMP,6006,8,8,0
CAMP,BIDEN,1392,5,5,0
CAMP,OTH,39,5,5,0
CAMP,TRUMP,3626,5,5,0
CARSON,BIDEN,289,9,9,0
CARSON,OTH,45,9,9,0
CARSON,TRUMP,2747,9,9,0
CASS,BIDEN,2777,19,19,0
CASS,OTH,100,19,19,0
CASS,TRUMP,10979,19,19,0
CASTRO,BIDEN,466,9,9,0
CASTRO,OTH,15,9,9,0
CASTRO,TRUMP,1601,9,9,0
CHAMBERS,BIDEN,3997,15,15,0
CHAMBERS,OTH,301,15,15,0
CHAMBERS,TRUMP,17343,15,15,0
CHEROKEE,BIDEN,4196,25,25,0
CHEROKEE,OTH,196,25,25,0
CHEROKEE,TRUMP,15065,25,25,0
CHILDRESS,BIDEN,305,5,5,0
CHILDRESS,OTH,26,5,5,0
CHILDRESS,TRUMP,1928,5,5,0
CLAY,BIDEN,614,17,17,0
CLAY,OTH,58,17,17,0
CLAY,TRUMP,5064,17,17,0
COCHRAN,BIDEN,176,4,4,0
COCHRAN,OTH,14,4,4,0
COCHRAN,TRUMP,806,4,4,0
COKE,BIDEN,215,5,5,0
COKE,OTH,14,5,5,0
COKE,TRUMP,1565,5,5,0
COLEMAN,BIDEN,450,5,5,0
COLEMAN,OTH,32,5,5,0
COLEMAN,TRUMP,3638,5,5,0
COLLINGSWORTH,BIDEN,155,8,8,0
COLLINGSWORTH,OTH,15,8,8,0
COLLINGSWORTH,TRUMP,1048,8,8,0
COMAL,BIDEN,24369,30,30,0
COMAL,OTH,1313,30,30,0
COMAL,TRUMP,62260,30,30,0
COMANCHE,BIDEN,852,15,15,0
COMANCHE,OTH,55,15,15,0
COMANCHE,TRUMP,5177,15,15,0
CONCHO,BIDEN,197,9,9,0
CONCHO,OTH,13,9,9,0
CONCHO,TRUMP,1058,9,9,0
COOKE,BIDEN,3205,30,30,0
COOKE,OTH,190,30,30,0
COOKE,TRUMP,15579,30,30,0
CORYELL,BIDEN,7542,16,16,0
CORYELL,OTH,486,16,16,0
CORYELL,TRUMP,15397,16,16,0
COTTLE,BIDEN,113,5,5,0
COTTLE,OTH,9,5,5,0
COTTLE,TRUMP,543,5,5,0
CRANE,BIDEN,241,4,4,0
CRANE,OTH,15,4,4,0
CRANE,TRUMP,1247,4,4,0
CROCKETT,BIDEN,344,5,5,0
CROCKETT,OTH,10,5,5,0
CROCKETT,TRUMP,1219,5,5,0
CROSBY,BIDEN,527,5,5,0
CROSBY,OTH,30,5,5,0
CROSBY,TRUMP,1396,5,5,0
CULBERSON,BIDEN,438,6,6,0
CULBERSON,OTH,11,6,6,0
CULBERSON,TRUMP,415,6,6,0
DALLAM,BIDEN,196,10,10,0
DALLAM,OTH,23,10,10,0
DALLAM,TRUMP,1386,10,10,0
DAWSON,BIDEN,808,10,10,0
DAWSON,OTH,30,10,10,0
DAWSON,TRUMP,2951,10,10,0
DEAF SMITH,BIDEN,1263,5,5,0
DEAF SMITH,OTH,52,5,5,0
DEAF SMITH,TRUMP,3293,5,5,0
DELTA,BIDEN,403,8,8,0
DELTA,OTH,27,8,8,0
DELTA,TRUMP,2157,8,8,0
DEWITT,BIDEN,1494,10,10,0
DEWITT,OTH,57,10,10,0
DEWITT,TRUMP,6567,10,10,0
DICKENS,BIDEN,130,7,7,0
DICKENS,OTH,5,7,7,0
DICKENS,TRUMP,850,7,7,0
DIMMIT,BIDEN,2264,8,8,0
DIMMIT,OTH,18,8,8,0
DIMMIT,TRUMP,1384,8,8,0
ECTOR,BIDEN,11310,41,41,0
ECTOR,OTH,521,41,41,0
ECTOR,TRUMP,32586,41,41,0
ELLIS,BIDEN,27513,50,50,0
ELLIS,OTH,1203,50,50,0
ELLIS,TRUMP,56651,50,50,0
ERATH,BIDEN,2914,22,22,0
ERATH,OTH,254,22,22,0
ERATH,TRUMP,13669,22,22,0
FALLS,BIDEN,1854,13,13,0
FALLS,OTH,54,13,13,0
FALLS,TRUMP,4008,13,13,0
FISHER,BIDEN,352,5,5,0
FISHER,OTH,26,5,5,0
FISHER,TRUMP,1448,5,5,0
FOARD,BIDEN,99,5,5,0
FOARD,OTH,7,5,5,0
FOARD,TRUMP,445,5,5,0
FRANKLIN,BIDEN,803,9,9,0
FRANKLIN,OTH,44,9,9,0
FRANKLIN,TRUMP,4153,9,9,0
FREESTONE,BIDEN,1629,16,16,0
FREESTONE,OTH,83,16,16,0
FREESTONE,TRUMP,6966,16,16,0
FRIO,BIDEN,2421,10,10,0
FRIO,OTH,31,10,10,0
FRIO,TRUMP,2812,10,10,0
GAINES,BIDEN,572,9,9,0
GAINES,OTH,65,9,9,0
GAINES,TRUMP,5323,9,9,0
GARZA,BIDEN,231,7,7,0
GARZA,OTH,9,7,7,0
GARZA,TRUMP,1411,7,7,0
GLASSCOCK,BIDEN,39,5,5,0
GLASSCOCK,OTH,3,5,5,0
GLASSCOCK,TRUMP,611,5,5,0
GONZALES,BIDEN,1894,16,16,0
GONZALES,OTH,72,16,16,0
GONZALES,TRUMP,5568,16,16,0
GRAY,BIDEN,820,8,8,0
GRAY,OTH,113,8,8,0
GRAY,TRUMP,6812,8,8,0
GRAYSON,BIDEN,14223,37,37,0
GRAYSON,OTH,761,37,37,0
GRAYSON,TRUMP,43776,37,37,0
GREGG,BIDEN,14657,22,22,0
GREGG,OTH,691,22,22,0
GREGG,TRUMP,32352,22,22,0
GUADALUPE,BIDEN,28706,72,72,0
GUADALUPE,OTH,1253,72,72,0
GUADALUPE,TRUMP,47423,72,72,0
HALE,BIDEN,2271,31,31,0
HALE,OTH,127,31,31,0
HALE,TRUMP,7162,31,31,0
HALL,BIDEN,167,5,5,0
HALL,OTH,6,5,5,0
HALL,TRUMP,992,5,5,0
HANSFORD,BIDEN,166,8,8,0
HANSFORD,OTH,32,8,8,0
HANSFORD,TRUMP,1848,8,8,0
HARDEMAN,BIDEN,241,4,4,0
HARDEMAN,OTH,9,4,4,0
HARDEMAN,TRUMP,1330,4,4,0
HARDIN,BIDEN,3449,20,20,0
HARDIN,OTH,300,20,20,0
HARDIN,TRUMP,23806,20,20,0
HARTLEY,BIDEN,195,7,7,0
HARTLEY,OTH,15,7,7,0
HARTLEY,TRUMP,1866,7,7,0
HAYS,BIDEN,59213,69,69,0
HAYS,OTH,2148,69,69,0
HAYS,TRUMP,47427,69,69,0
HEMPHILL,BIDEN,206,9,9,0
HEMPHILL,OTH,28,9,9,0
HEMPHILL,TRUMP,1486,9,9,0
HOOD,BIDEN,5605,16,16,0
HOOD,OTH,393,16,16,0
HOOD,TRUMP,26243,16,16,0
HOPKINS,BIDEN,3043,22,22,0
HOPKINS,OTH,176,22,22,0
HOPKINS,TRUMP,12713,22,22,0
HOWARD,BIDEN,1704,27,27,0
HOWARD,OTH,81,27,27,0
HOWARD,TRUMP,6461,27,27,0
HUTCHINSON,BIDEN,957,9,9,0
HUTCHINSON,OTH,125,9,9,0
HUTCHINSON,TRUMP,7659,9,9,0
IRION,BIDEN,120,5,5,0
IRION,OTH,10,5,5,0
IRION,TRUMP,759,5,5,0
JACK,BIDEN,331,7,7,0
JACK,OTH,33,7,7,0
JACK,TRUMP,3415,7,7,0
JACKSON,BIDEN,1018,10,10,0
JACKSON,OTH,76,10,10,0
JACKSON,TRUMP,5116,10,10,0
JEFF DAVIS,BIDEN,501,6,6,0
JEFF DAVIS,OTH,20,6,6,0
JEFF DAVIS,TRUMP,783,6,6,0
JEFFERSON,BIDEN,46022,140,140,0
JEFFERSON,OTH,1108,140,140,0
JEFFERSON,TRUMP,47535,140,140,0
JIM HOGG,BIDEN,1197,6,6,0
JIM HOGG,OTH,6,6,6,0
JIM HOGG,TRUMP,831,6,6,0
JONES,BIDEN,989,12,12,0
JONES,OTH,81,12,12,0
JONES,TRUMP,5621,12,12,0
KARNES,BIDEN,1220,15,15,0
KARNES,OTH,50,15,15,0
KARNES,TRUMP,3959,15,15,0
KAUFMAN,BIDEN,18290,31,31,0
KAUFMAN,OTH,671,31,31,0
KAUFMAN,TRUMP,37474,31,31,0
KENDALL,BIDEN,6008,11,11,0
KENDALL,OTH,347,11,11,0
KENDALL,TRUMP,20064,11,11,0
KENEDY,BIDEN,65,6,6,0
KENEDY,OTH,2,6,6,0
KENEDY,TRUMP,127,6,6,0
KENT,BIDEN,47,7,7,0
KENT,OTH,4,7,7,0
KENT,TRUMP,411,7,7,0
KIMBLE,BIDEN,284,8,8,0
KIMBLE,OTH,21,8,8,0
KIMBLE,TRUMP,1987,8,8,0
KING,BIDEN,8,5,5,0
KING,OTH,0,5,5,0
KING,TRUMP,151,5,5,0
KINNEY,BIDEN,446,4,4,0
KINNEY,OTH,13,4,4,0
KINNEY,TRUMP,1144,4,4,0
KLEBERG,BIDEN,5359,18,18,0
KLEBERG,OTH,125,18,18,0
KLEBERG,TRUMP,5557,18,18,0
KNOX,BIDEN,265,7,7,0
KNOX,OTH,11,7,7,0
KNOX,TRUMP,1180,7,7,0
LAMAR,BIDEN,4420,27,27,0
LAMAR,OTH,220,27,27,0
LAMAR,TRUMP,16698,27,27,0
LAMB,BIDEN,437,12,12,0
LAMB,OTH,29,12,12,0
LAMB,TRUMP,2223,12,12,0
LAMPASAS,BIDEN,2134,10,10,0
LAMPASAS,OTH,169,10,10,0
LAMPASAS,TRUMP,8070,10,10,0
LASALLE,BIDEN,1052,5,5,0
LASALLE,OTH,19,5,5,0
LASALLE,TRUMP,1335,5,5,0
LEE,BIDEN,1745,16,16,0
LEE,OTH,82,16,16,0
LEE,TRUMP,6248,16,16,0
LEON,BIDEN,1072,18,18,0
LEON,OTH,78,18,18,0
LEON,TRUMP,7522,18,18,0
LIBERTY,BIDEN,5779,30,30,0
LIBERTY,OTH,247,30,30,0
LIBERTY,TRUMP,23288,30,30,0
LIMESTONE,BIDEN,2213,21,21,0
LIMESTONE,OTH,93,21,21,0
LIMESTONE,TRUMP,6786,21,21,0
LIPSCOMB,BIDEN,131,7,7,0
LIPSCOMB,OTH,17,7,7,0
LIPSCOMB,TRUMP,1203,7,7,0
LLANO,BIDEN,3167,10,10,0
LLANO,OTH,115,10,10,0
LLANO,TRUMP,9996,10,10,0
LOVING,BIDEN,4,5,5,0
LOVING,OTH,2,5,5,0
LOVING,TRUMP,60,5,5,0
LYNN,BIDEN,428,15,15,0
LYNN,OTH,12,15,15,0
LYNN,TRUMP,1853,15,15,0
MADISON,BIDEN,1084,5,5,0
MADISON,OTH,40,5,5,0
MADISON,TRUMP,4165,5,5,0
MARION,BIDEN,1331,10,10,0
MARION,OTH,54,10,10,0
MARION,TRUMP,3459,10,10,0
MARTIN,BIDEN,288,6,6,0
MARTIN,OTH,15,6,6,0
MARTIN,TRUMP,1857,6,6,0
MASON,BIDEN,566,5,5,0
MASON,OTH,26,5,5,0
MASON,TRUMP,2108,5,5,0
MATAGORDA,BIDEN,3726,19,19,0
MATAGORDA,OTH,148,19,19,0
MATAGORDA,TRUMP,9836,19,19,0
MCCULLOCH,BIDEN,490,4,4,0
MCCULLOCH,OTH,42,4,4,0
MCCULLOCH,TRUMP,2898,4,4,0
MCLENNAN,BIDEN,36550,92,92,0
MCLENNAN,OTH,1635,92,92,0
MCLENNAN,TRUMP,59432,92,92,0
MCMULLEN,BIDEN,53,5,5,0
MCMULLEN,OTH,3,5,5,0
MCMULLEN,TRUMP,460,5,5,0
MEDINA,BIDEN,6731,8,8,0
MEDINA,OTH,238,8,8,0
MEDINA,TRUMP,15599,8,8,0
MENARD,BIDEN,196,7,7,0
MENARD,OTH,8,7,7,0
MENARD,TRUMP,819,7,7,0
MIDLAND,BIDEN,12258,45,45,0
MIDLAND,OTH,899,45,45,0
MIDLAND,TRUMP,45463,45,45,0
MILAM,BIDEN,2475,12,12,0
MILAM,OTH,98,12,12,0
MILAM,TRUMP,7950,12,12,0
MILLS,BIDEN,271,8,8,0
MILLS,OTH,17,8,8,0
MILLS,TRUMP,2214,8,8,0
MITCHELL,BIDEN,397,7,7,0
MITCHELL,OTH,12,7,7,0
MITCHELL,TRUMP,2169,7,7,0
MONTAGUE,BIDEN,1097,16,16,0
MONTAGUE,OTH,102,16,16,0
MONTAGUE,TRUMP,8613,16,16,0
MOORE,BIDEN,1059,8,8,0
MOORE,OTH,87,8,8,0
MOORE,TRUMP,4356,8,8,0
MORRIS,BIDEN,1664,9,9,0
MORRIS,OTH,43,9,9,0
MORRIS,TRUMP,3841,9,9,0
MOTLEY,BIDEN,46,7,7,0
MOTLEY,OTH,2,7,7,0
MOTLEY,TRUMP,604,7,7,0
NACOGDOCHES,BIDEN,8989,26,26,0
NACOGDOCHES,OTH,407,26,26,0
NACOGDOCHES,TRUMP,17359,26,26,0
NOLAN,BIDEN,1161,10,10,0
NOLAN,OTH,64,10,10,0
NOLAN,TRUMP,4127,10,10,0
NUECES,BIDEN,60749,128,128,0
NUECES,OTH,1768,128,128,0
NUECES,TRUMP,64467,128,128,0
OCHILTREE,BIDEN,302,5,5,0
OCHILTREE,OTH,42,5,5,0
OCHILTREE,TRUMP,2811,5,5,0
OLDHAM,BIDEN,81,8,8,0
OLDHAM,OTH,11,8,8,0
OLDHAM,TRUMP,917,8,8,0
PALO PINTO,BIDEN,2177,28,28,0
PALO PINTO,OTH,131,28,28,0
PALO PINTO,TRUMP,10170,28,28,0
PANOLA,BIDEN,2057,20,20,0
PANOLA,OTH,73,20,20,0
PANOLA,TRUMP,9322,20,20,0
PARKER,BIDEN,12789,44,44,0
PARKER,OTH,1061,44,44,0
PARKER,TRUMP,61584,44,44,0
PARMER,BIDEN,488,10,10,0
PARMER,OTH,27,10,10,0
PARMER,TRUMP,2133,10,10,0
PECOS,BIDEN,1378,10,10,0
PECOS,OTH,72,10,10,0
PECOS,TRUMP,3213,10,10,0
POLK,BIDEN,5353,22,22,0
POLK,OTH,223,22,22,0
POLK,TRUMP,18496,22,22,0
POTTER,BIDEN,9867,25,25,0
POTTER,OTH,578,25,25,0
POTTER,TRUMP,22732,25,25,0
PRESIDIO,BIDEN,1463,8,8,0
PRESIDIO,OTH,33,8,8,0
PRESIDIO,TRUMP,721,8,8,0
RANDALL,BIDEN,12750,23,23,0
RANDALL,OTH,1072,23,23,0
RANDALL,TRUMP,50597,23,23,0
REAGAN,BIDEN,172,5,5,0
REAGAN,OTH,10,5,5,0
REAGAN,TRUMP,942,5,5,0
REAL,BIDEN,320,6,6,0
REAL,OTH,19,6,6,0
REAL,TRUMP,1643,6,6,0
RED RIVER,BIDEN,1244,20,20,0
RED RIVER,OTH,43,20,20,0
RED RIVER,TRUMP,4513,20,20,0
ROBERTS,BIDEN,17,5,5,0
ROBERTS,OTH,4,5,5,0
ROBERTS,TRUMP,529,5,5,0
ROBERTSON,BIDEN,2359,16,16,0
ROBERTSON,OTH,90,16,16,0
ROBERTSON,TRUMP,5631,16,16,0
ROCKWALL,BIDEN,18149,18,18,0
ROCKWALL,OTH,801,18,18,0
ROCKWALL,TRUMP,38842,18,18,0
RUNNELS,BIDEN,531,11,11,0
RUNNELS,OTH,49,11,11,0
RUNNELS,TRUMP,3682,11,11,0
RUSK,BIDEN,4624,23,23,0
RUSK,OTH,213,23,23,0
RUSK,TRUMP,16511,23,23,0
SABINE,BIDEN,662,9,9,0
SABINE,OTH,32,9,9,0
SABINE,TRUMP,4767,9,9,0
SAN AUGUSTINE,BIDEN,979,12,12,0
SAN AUGUSTINE,OTH,14,12,12,0
SAN AUGUSTINE,TRUMP,3005,12,12,0
SAN JACINTO,BIDEN,2332,12,12,0
SAN JACINTO,OTH,142,12,12,0
SAN JACINTO,TRUMP,10154,12,12,0
SAN PATRICIO,BIDEN,8971,26,26,0
SAN PATRICIO,OTH,384,26,26,0
SAN PATRICIO,TRUMP,16495,26,26,0
SAN SABA,BIDEN,287,4,4,0
SAN SABA,OTH,7,4,4,0
SAN SABA,TRUMP,2308,4,4,0
SCHLEICHER,BIDEN,211,5,5,0
SCHLEICHER,OTH,8,5,5,0
SCHLEICHER,TRUMP,939,5,5,0
SCURRY,BIDEN,818,12,12,0
SCURRY,OTH,69,12,12,0
SCURRY,TRUMP,4978,12,12,0
SHACKELFORD,BIDEN,130,8,8,0
SHACKELFORD,OTH,14,8,8,0
SHACKELFORD,TRUMP,1484,8,8,0
SHELBY,BIDEN,2058,15,15,0
SHELBY,OTH,43,15,15,0
SHELBY,TRUMP,7962,15,15,0
SHERMAN,BIDEN,91,5,5,0
SHERMAN,OTH,14,5,5,0
SHERMAN,TRUMP,885,5,5,0
SMITH,BIDEN,29343,74,74,0
SMITH,OTH,1374,74,74,0
SMITH,TRUMP,68546,74,74,0
SOMERVELL,BIDEN,768,4,4,0
SOMERVELL,OTH,73,4,4,0
SOMERVELL,TRUMP,4099,4,4,0
STARR,BIDEN,9099,10,10,0
STARR,OTH,155,10,10,0
STARR,TRUMP,8224,10,10,0
STEPHENS,BIDEN,396,9,9,0
STEPHENS,OTH,18,9,9,0
STEPHENS,TRUMP,3385,9,9,0
STERLING,BIDEN,51,4,4,0
STERLING,OTH,4,4,4,0
STERLING,TRUMP,584,4,4,0
STONEWALL,BIDEN,116,4,4,0
STONEWALL,OTH,5,4,4,0
STONEWALL,TRUMP,615,4,4,0
SUTTON,BIDEN,322,5,5,0
SUTTON,OTH,13,5,5,0
SUTTON,TRUMP,1222,5,5,0
SWISHER,BIDEN,478,9,9,0
SWISHER,OTH,33,9,9,0
SWISHER,TRUMP,1842,9,9,0
TAYLOR,BIDEN,14489,35,35,0
TAYLOR,OTH,996,35,35,0
TAYLOR,TRUMP,39439,35,35,0
TERRELL,BIDEN,119,5,5,0
TERRELL,OTH,5,5,5,0
TERRELL,TRUMP,334,5,5,0
THROCKMORTON,BIDEN,82,6,6,0
THROCKMORTON,OTH,11,6,6,0
THROCKMORTON,TRUMP,806,6,6,0
TOM GREEN,BIDEN,14774,35,35,0
TOM GREEN,OTH,721,35,35,0
TOM GREEN,TRUMP,35149,35,35,0
TYLER,BIDEN,1180,18,18,0
TYLER,OTH,43,18,18,0
TYLER,TRUMP,6529,18,18,0
UPSHUR,BIDEN,2869,22,22,0
UPSHUR,OTH,206,22,22,0
UPSHUR,TRUMP,15775,22,22,0
UPTON,BIDEN,169,5,5,0
UPTON,OTH,20,5,5,0
UPTON,TRUMP,1170,5,5,0
UVALDE,BIDEN,4066,14,14,0
UVALDE,OTH,97,14,14,0
UVALDE,TRUMP,6160,14,14,0
WALKER,BIDEN,7875,17,17,0
WALKER,OTH,352,17,17,0
WALKER,TRUMP,15368,17,17,0
WALLER,BIDEN,6435,21,21,0
WALLER,OTH,194,21,21,0
WALLER,TRUMP,10837,21,21,0
WARD,BIDEN,761,9,9,0
WARD,OTH,35,9,9,0
WARD,TRUMP,3238,9,9,0
WEBB,BIDEN,12827,70,70,0
WEBB,OTH,219,70,70,0
WEBB,TRUMP,8576,70,70,0
WHEELER,BIDEN,168,11,11,0
WHEELER,OTH,10,11,11,0
WHEELER,TRUMP,2158,11,11,0
WILBARGER,BIDEN,954,5,5,0
WILBARGER,OTH,44,5,5,0
WILBARGER,TRUMP,3520,5,5,0
WILLACY,BIDEN,3097,17,17,0
WILLACY,OTH,41,17,17,0
WILLACY,TRUMP,2437,17,17,0
WISE,BIDEN,4953,26,26,0
WISE,OTH,358,26,26,0
WISE,TRUMP,26986,26,26,0
WOOD,BIDEN,3487,14,14,0
WOOD,OTH,216,14,14,0
WOOD,TRUMP,18962,14,14,0
YOAKUM,BIDEN,419,7,7,0
YOAKUM,OTH,37,7,7,0
YOAKUM,TRUMP,2172,7,7,0
YOUNG,BIDEN,1036,10,10,0
YOUNG,OTH,94,10,10,0
YOUNG,TRUMP,7112,10,10,0
ZAVALA,BIDEN,2117,6,6,0
ZAVALA,OTH,10,6,6,0
ZAVALA,TRUMP,841,6,6,0
